.id,X.,Heb.je.een.Kamer.van.Koophandel.nummer.,Wat.is.jouw.professionele.titel.,Met.welke.activiteit.verdien.je.het.grootste.deel.van.je.omzet.,Waarom.heb.je.je.aangemeld.voor.dit.programma.,Hoeveel.nadruk.denk.je.dat.er.gaat.worden.gelegd.op..Business.skills..,Hoeveel.nadruk.denk.je.dat.er.gaat.worden.gelegd.op..Artistieke.skills...,En.hoeveel.nadruk.denk.je.dat.er.gaat.worden.gelegd.op..Psychologische.skills..,Is.er.naast.Business..Artistieke.en.Psychologische.skills.nog.een.soort.skills.die.niet.genoemd.is.en.die.je.wel.erg.belangrijk.vindt..,Welke.soort.skills.mis.je.nog.in.de.voorgaande.vragen.en.wil.je.wel.op.focussen.in.de.training.die.je.gaat.doen.,Hoeveel.nadruk.denk.je.dat.er.gaat.worden.gelegd.op...field.81db4bc4.62bf.4021.b511.b9f01866065f....in.de.training.die.je.gaat.volgen.,Aan.welke.onderdelen.denk.jij.het.meest.te.hebben.om.jouw.doelen.te.bereiken.,Kun.je.toelichten.waarom.je...field.a3329bb5.67ab.418c.a388.237285d8ecda...hebt.gekozen.,Wat.is.je.maandelijkse.omzet.,Welk.deel.van.je.omzet.verdien.je.met.je.creatieve.activiteiten.,In.de.komende.12.maanden.wil.ik.praktische.experimenten.doen.om.oplossingen.te.bedenken.voor.mijn.klanten.en.opdrachtgevers...,In.de.komende.12.maanden.ben.ik.van.plan.om.een.prototype.te.ontwikkelen.voor.een.product.of.dienst...,In.de.komende.12.maanden.ben.ik.van.plan.om.een.waardepropositie.te.ontwikkelen...,In.de.komende.12.maanden.ben.ik.van.plan.om.mijn.waardepropositie.te.testen.in.de.markt...,In.de.komende.12.maanden.ben.ik.van.plan.om.te.stoppen.met.mijn..bij.baan.of.veel.minder.tijd.aan.mijn..bij.baan.te.spenderen..zodat.ik.me.kan.focussen.op.mijn.onderneming...,In.de.komende.12.maanden.ben.ik.van.plan.om.mijn.eigen.geld.in.mijn.onderneming.te.investeren...,In.de.komende.12.maanden.ben.ik.van.plan.om.een..extra..zakelijke.bankrekening.te.openen.....,In.de.komende.12.maanden.ben.ik.van.plan.om.dure.apparatuur.aan.te.schaffen.voor.mijn.onderneming.....,In.de.komende.12.maanden.ben.ik.van.plan.om.te.zoeken.naar.financiering.voor.mijn.plannen......,Ik.herken.altijd.kansen,Ik.ben.creatief,Ik.kan.goed.problemen.oplossen,Ik.ben.een.goede.leider,Het.is.makkelijk.om.met.anderen.te.communiceren,Ik.heb.altijd.nieuwe.ideeën,Ik.maak.makkelijk.contact,Ik.heb.zelfvertrouwen,Ik.heb.analytisch.vermogen,Ik.ben.optimistisch,Ik.hou.van.authenticiteit..bij.jezelf.blijven.,Ik.ben.doelgericht,Ik.ben.daadkrachtig,Ik.ben.nieuwsgierig,Ik.heb.discipline,Ik.heb.sociaal.adaptatievermogen,Ik.ben.communicatief,Ik.ben.efficiënt,Ik.heb.verantwoordelijkheidsgevoel,Ik.heb.doorzettingsvermogen,Ik.heb.zelfkennis,Ik.heb.empatisch.vermogen,Ik.ben.goed.in.leiderschap,Ik.ben.stressbestendig,Ik.doe.altijd.goed.mijn.best..ook.wanneer.het.moeilijk.is,Ik.stop.veel.energie.in.het.verbeteren.van.mijn..werk.resultaten,Ik.probeer.altijd.extra.verantwoordelijkheden.te.nemen,Ik.probeer.betere.resultaten.te.halen.dan.mijn.vakgenoten,Als.ik.plannen.maak.weet.ik.zeker.dat.ze.werken,Als.ik.iets.goed.doe..komt.dat.door.mijn.vaardigheden.en.niet.door.geluk,Wat.mij.overkomt.komt.door.mijn.eigen.gedrag,Veel.ongelukkige.gebeurtenissen.in.het.leven.van.een.persoon.komen.door.pech.,Een.goede..creatieve..business.hebben.komt.voornamelijk.door.op.het.juiste.moment.op.de.juiste.plek.te.zijn,Soms.heb.ik.het.idee.dat.ik.niet.genoeg.controle.heb.over.mijn.leven,Niets.is.interessanter.dan.leven.onder.steeds.veranderende.omstandigheden,Innovatieve.mensen.en.mensen.die.risico.s.nemen.bereiken.meer.in.het.leven.dan.geordende.mensen,Als.je.echt.wilt.genieten.van.je.vakantie..moet.je.deze.goed.plannen,Hetzelfde.doen.op.dezelfde.plek.voor.een.lange.periode.leidt.tot.een.gelukkig.leven,Start.Date..UTC.,Submit.Date..UTC.,Network.ID,Tags
WerktuigPPO |  FebMar,24umpxnobj7z59xnl248ycq0g10hplsr,Ja,interieurontwerper,geven van interieuradvies,"Om mijn ondernemerschapsvaardigheden te verbeteren,Om mijn omzet te vergroten,Om mezelf meer als ondernemer te profileren,Omdat ik een gebrek aan zakelijke kennis heb,Om mijn bestaande creatieve onderneming beter te leren managen,Omdat ik het moeilijk vind mezelf commercieel te exploiteren,Om mijn persoonlijke vaardigheden te verbeteren,Omdat ik teveel tijd kwijt ben aan zakelijke dingen ten koste van mijn creativiteit,Omdat ik te weinig tijd heb voor het ontwikkelen van een lange termijn strategie,Omdat ik de waarde van mijn creativiteit wil bepalen,Omdat ik een (fulltime) creatieve professional wil worden,Anders",7,8,8,1,Persoonlijke ontwikkeling en ook spirituele ontwikkeling omdat je door beide een sterker persoon wordt en dus een sterke zelfverzekerde ondernemer,7,Persoonlijke ontwikkeling,Dat gaat over de basis van je bedrijf. Net zo belangrijk als (zelfstandig) ondernemer naast de kennis over je vak,€ 2.500 - € 3.000,100,Neutraal,Niet mee eens,Mee eens,Mee eens,Helemaal mee eens,Mee eens,Neutraal,Neutraal,Niet mee eens,Neutraal,Helemaal mee eens,Neutraal,Mee eens,Neutraal,Neutraal,Neutraal,Mee eens,Neutraal,Mee eens,Mee eens,Mee eens,Mee eens,Mee eens,Neutraal,Mee eens,Neutraal,Mee eens,Mee eens,Mee eens,Neutraal,Mee eens,Neutraal,Neutraal,Mee eens,Mee eens,Neutraal,Neutraal,Neutraal,Neutraal,Neutraal,Neutraal,Niet mee eens,Neutraal,Niet mee eens,Neutraal,Niet mee eens,Niet mee eens,2022-05-24 09:33:02,2022-05-24 09:48:40,c863c24a73,NA
WerktuigPPO |  FebMar,nstrndpsdls1mruhucknstrnfcpkp9q2,Ja,Schrijver,Schrijven/kunstkritiek,"Anders,Om mijn omzet te vergroten,Omdat ik de waarde van mijn creativiteit wil bepalen,Om mijn bestaande creatieve onderneming beter te leren managen,Omdat ik het moeilijk vind mezelf commercieel te exploiteren,Om mijn ondernemerschapsvaardigheden te verbeteren,Om mezelf meer als ondernemer te profileren,Omdat ik een (fulltime) creatieve professional wil worden,Omdat ik teveel tijd kwijt ben aan zakelijke dingen ten koste van mijn creativiteit,Om mijn persoonlijke vaardigheden te verbeteren,Omdat ik een gebrek aan zakelijke kennis heb,Omdat ik te weinig tijd heb voor het ontwikkelen van een lange termijn strategie",3,1,10,1,partnerships,5,Praktische verbeterstappen zoeken,"Mijn doel en visie zijn redelijk helder, ik heb ook al veel skills en zelfkennis, maar ik vind het moeilijk om dit om te zetten naar haalbare stappen die mij dichterbij mijn doel brengen (ik gok dat dit ook samenhangt met het conreter maken van het doel ondanks het feit dat mijn intuitie hierover vrij sterk is, het is nog niet pers praktisch of concreet tastbaar)",Minder dan €1.000,100,Mee eens,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Helemaal niet mee eens,Helemaal niet mee eens,Helemaal niet mee eens,Helemaal niet mee eens,Mee eens,Niet mee eens,Helemaal mee eens,Mee eens,Mee eens,Mee eens,Helemaal mee eens,Helemaal mee eens,Mee eens,Neutraal,Neutraal,Helemaal mee eens,Mee eens,Mee eens,Helemaal mee eens,Neutraal,Mee eens,Helemaal mee eens,Niet mee eens,Helemaal mee eens,Helemaal mee eens,Mee eens,Helemaal mee eens,Mee eens,Neutraal,Helemaal mee eens,Mee eens,Niet mee eens,Mee eens,Niet mee eens,Neutraal,Neutraal,Mee eens,Mee eens,Mee eens,Mee eens,Niet mee eens,Niet mee eens,Niet mee eens,2022-05-13 07:45:01,2022-05-13 08:02:10,6ce42c941c,NA
WerktuigPPO |  FebMar,k1fh1u3pdyvworgnxtjlk1fhtg963dc4,Ja,Ontwerper,Kantoorbaan,"Omdat ik een (fulltime) creatieve professional wil worden,Om mijn persoonlijke vaardigheden te verbeteren,Om mezelf meer als ondernemer te profileren,Om mijn ondernemerschapsvaardigheden te verbeteren,Om mijn bestaande creatieve onderneming beter te leren managen,Omdat ik het moeilijk vind mezelf commercieel te exploiteren,Om mijn omzet te vergroten,Omdat ik een gebrek aan zakelijke kennis heb,Omdat ik teveel tijd kwijt ben aan zakelijke dingen ten koste van mijn creativiteit,Omdat ik te weinig tijd heb voor het ontwikkelen van een lange termijn strategie,Omdat ik de waarde van mijn creativiteit wil bepalen,Anders",8,9,8,0,,NA,,,€ 1.000 - € 1.500,15,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Helemaal niet mee eens,Helemaal mee eens,Helemaal niet mee eens,Helemaal mee eens,Mee eens,Neutraal,Helemaal mee eens,Helemaal mee eens,Mee eens,Mee eens,Helemaal mee eens,Neutraal,Mee eens,Helemaal mee eens,Mee eens,Helemaal mee eens,Mee eens,Neutraal,Helemaal mee eens,Niet mee eens,Mee eens,Mee eens,Neutraal,Mee eens,Mee eens,Helemaal mee eens,Helemaal mee eens,Mee eens,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Niet mee eens,Mee eens,Neutraal,Neutraal,Neutraal,Niet mee eens,Mee eens,Mee eens,Neutraal,Neutraal,Niet mee eens,Helemaal niet mee eens,2022-05-12 09:45:12,2022-05-12 09:54:38,5a32152216,NA
WerktuigPPO |  FebMar,vq8c05b78r98hmxjubrvyvq8c05b7xya,Ja,Creatief Ondernemer,Leiden & Innoveren,"Om mijn ondernemerschapsvaardigheden te verbeteren,Om mijn bestaande creatieve onderneming beter te leren managen,Omdat ik te weinig tijd heb voor het ontwikkelen van een lange termijn strategie,Omdat ik de waarde van mijn creativiteit wil bepalen,Om mijn persoonlijke vaardigheden te verbeteren,Omdat ik teveel tijd kwijt ben aan zakelijke dingen ten koste van mijn creativiteit,Omdat ik het moeilijk vind mezelf commercieel te exploiteren,Om mijn omzet te vergroten,Omdat ik een gebrek aan zakelijke kennis heb,Om mezelf meer als ondernemer te profileren,Omdat ik een (fulltime) creatieve professional wil worden,Anders",8,2,6,1,"Bedrijfsstrategie, Maatschappelijke impact",10,Visie aanscherpen,"Ik weet wat ik kan, ik weet waar ik impact wil maken, ik weet met wie ik wil werken. Ik weet niet hoe ik mijn impact specifiek kan maken en hoe ik overtuigend kan vertellen hoe ik met mijn activiteiten en plannen deze impact ga kunnen maken.",Meer dan € 5.000,100,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Helemaal niet mee eens,Helemaal mee eens,Helemaal mee eens,Neutraal,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Mee eens,Mee eens,Mee eens,Mee eens,Mee eens,Mee eens,Mee eens,Mee eens,Mee eens,Mee eens,Helemaal mee eens,Mee eens,Mee eens,Mee eens,Mee eens,Helemaal mee eens,Mee eens,Mee eens,Helemaal mee eens,Mee eens,Neutraal,Helemaal mee eens,Helemaal mee eens,Neutraal,Mee eens,Neutraal,Mee eens,Neutraal,Neutraal,Niet mee eens,Niet mee eens,Mee eens,Neutraal,Niet mee eens,Niet mee eens,2022-05-12 09:12:19,2022-05-12 09:24:11,f6abd3cf6b,NA
WerktuigPPO |  FebMar,rfidzvjl7pur4so1rfidzg6djc872pc7,Ja,design,design,"Om mezelf meer als ondernemer te profileren,Anders,Om mijn omzet te vergroten,Omdat ik het moeilijk vind mezelf commercieel te exploiteren,Om mijn persoonlijke vaardigheden te verbeteren,Omdat ik te weinig tijd heb voor het ontwikkelen van een lange termijn strategie,Om mijn ondernemerschapsvaardigheden te verbeteren,Omdat ik teveel tijd kwijt ben aan zakelijke dingen ten koste van mijn creativiteit,Omdat ik de waarde van mijn creativiteit wil bepalen,Om mijn bestaande creatieve onderneming beter te leren managen,Omdat ik een gebrek aan zakelijke kennis heb,Omdat ik een (fulltime) creatieve professional wil worden",3,0,0,0,,NA,,,Minder dan €1.000,100,Helemaal niet mee eens,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Neutraal,Mee eens,Helemaal niet mee eens,Helemaal niet mee eens,Neutraal,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Neutraal,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Neutraal,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Neutraal,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Helemaal niet mee eens,Helemaal niet mee eens,2022-05-11 07:39:03,2022-05-11 08:01:44,4e8a97210e,NA
WerktuigPPO |  FebMar,ksfhdljkzngtd6b9rd94ksfhdl8wcnl3,Ja,Dans en yoga docent,Lesgeven,"Om mijn ondernemerschapsvaardigheden te verbeteren,Om mijn persoonlijke vaardigheden te verbeteren,Om mijn omzet te vergroten,Omdat ik een (fulltime) creatieve professional wil worden,Om mijn bestaande creatieve onderneming beter te leren managen,Om mezelf meer als ondernemer te profileren,Omdat ik het moeilijk vind mezelf commercieel te exploiteren,Omdat ik een gebrek aan zakelijke kennis heb,Omdat ik teveel tijd kwijt ben aan zakelijke dingen ten koste van mijn creativiteit,Omdat ik te weinig tijd heb voor het ontwikkelen van een lange termijn strategie,Omdat ik de waarde van mijn creativiteit wil bepalen,Anders",5,3,10,1,Hulp vragen,10,Visie aanscherpen,Vind ik belangrijk om mijn visie dagelijks voor me te hebben. Ik verlies vaak de ‘ goal’,€ 1.000 - € 1.500,80,Neutraal,Neutraal,Neutraal,Neutraal,Neutraal,Neutraal,Neutraal,Mee eens,Neutraal,Neutraal,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Mee eens,Neutraal,Mee eens,Helemaal mee eens,Neutraal,Mee eens,Mee eens,Mee eens,Neutraal,Neutraal,Neutraal,Helemaal mee eens,Helemaal mee eens,Mee eens,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Mee eens,Helemaal mee eens,Mee eens,Mee eens,Neutraal,Helemaal mee eens,Mee eens,Neutraal,Helemaal mee eens,Helemaal mee eens,2022-05-11 06:33:16,2022-05-11 06:41:32,5eac405d48,NA
WerktuigPPO |  FebMar,zei4i0k63doqtwaxuruzei4i0hfvgc2c,Ja,illustrator,horeca,"Omdat ik een (fulltime) creatieve professional wil worden,Om mijn ondernemerschapsvaardigheden te verbeteren,Om mijn omzet te vergroten,Om mezelf meer als ondernemer te profileren,Omdat ik het moeilijk vind mezelf commercieel te exploiteren,Om mijn persoonlijke vaardigheden te verbeteren,Omdat ik een gebrek aan zakelijke kennis heb,Om mijn bestaande creatieve onderneming beter te leren managen,Omdat ik teveel tijd kwijt ben aan zakelijke dingen ten koste van mijn creativiteit,Omdat ik te weinig tijd heb voor het ontwikkelen van een lange termijn strategie,Omdat ik de waarde van mijn creativiteit wil bepalen,Anders",5,5,6,1,"waar klanten vinden, focus in portfolio verscherpen, doelgroepen scherp krijgen, hoe klanten benaderen etc",10,Praktische verbeterstappen zoeken,"het why en what scherp krijgen is belangrijk, maar als je geen antwoord hebt op how? dan kun je nog steeds niet je werk goed verkopen.",Minder dan €1.000,10,Mee eens,Niet mee eens,Mee eens,Helemaal mee eens,Neutraal,Mee eens,Niet mee eens,Niet mee eens,Helemaal niet mee eens,Niet mee eens,Mee eens,Mee eens,Mee eens,Niet mee eens,Neutraal,Mee eens,Niet mee eens,Mee eens,Neutraal,Helemaal mee eens,Mee eens,Neutraal,Mee eens,Mee eens,Mee eens,Mee eens,Mee eens,Mee eens,Mee eens,Mee eens,Mee eens,Neutraal,Niet mee eens,Helemaal mee eens,Helemaal mee eens,Niet mee eens,Mee eens,Niet mee eens,Neutraal,Niet mee eens,Niet mee eens,Mee eens,Mee eens,Neutraal,Niet mee eens,Helemaal niet mee eens,Niet mee eens,2022-05-10 11:07:33,2022-05-10 11:29:08,11a2d14777,NA
WerktuigPPO |  FebMar,vfjscwi5iro50xbb5vfjscw5a4soawdy,Ja,Tekstschrijver,Schrijven,"Om mijn ondernemerschapsvaardigheden te verbeteren,Om mezelf meer als ondernemer te profileren,Omdat ik het moeilijk vind mezelf commercieel te exploiteren,Omdat ik een gebrek aan zakelijke kennis heb,Omdat ik de waarde van mijn creativiteit wil bepalen,Om mijn bestaande creatieve onderneming beter te leren managen,Om mijn persoonlijke vaardigheden te verbeteren,Om mijn omzet te vergroten,Omdat ik een (fulltime) creatieve professional wil worden,Omdat ik teveel tijd kwijt ben aan zakelijke dingen ten koste van mijn creativiteit,Omdat ik te weinig tijd heb voor het ontwikkelen van een lange termijn strategie,Anders",8,6,7,0,,NA,,,Gaat je niks aan,25,Mee eens,Neutraal,Mee eens,Mee eens,Helemaal mee eens,Mee eens,Mee eens,Neutraal,Neutraal,Neutraal,Mee eens,Mee eens,Neutraal,Mee eens,Neutraal,Mee eens,Neutraal,Neutraal,Neutraal,Mee eens,Mee eens,Neutraal,Mee eens,Neutraal,Mee eens,Mee eens,Mee eens,Mee eens,Neutraal,Mee eens,Mee eens,Neutraal,Neutraal,Mee eens,Mee eens,Mee eens,Mee eens,Neutraal,Neutraal,Mee eens,Mee eens,Neutraal,Neutraal,Neutraal,Neutraal,Mee eens,Neutraal,2022-05-10 10:54:59,2022-05-10 11:02:57,37743208cb,NA
WerktuigPPO |  FebMar,lj2cxh04or887mlejc1lj2cxz7a1a3k8,Ja,grafisch ontwerper / illustrator,ontwerpen,"Om mijn ondernemerschapsvaardigheden te verbeteren,Omdat ik het moeilijk vind mezelf commercieel te exploiteren,Om mijn bestaande creatieve onderneming beter te leren managen,Om mijn persoonlijke vaardigheden te verbeteren,Om mezelf meer als ondernemer te profileren,Om mijn omzet te vergroten,Omdat ik een gebrek aan zakelijke kennis heb,Omdat ik een (fulltime) creatieve professional wil worden,Omdat ik teveel tijd kwijt ben aan zakelijke dingen ten koste van mijn creativiteit,Omdat ik te weinig tijd heb voor het ontwikkelen van een lange termijn strategie,Omdat ik de waarde van mijn creativiteit wil bepalen,Anders",9,4,6,0,,NA,,,€ 1.500 - € 2.000,100,Mee eens,Mee eens,Neutraal,Neutraal,Niet mee eens,Helemaal niet mee eens,Niet mee eens,Neutraal,Neutraal,Mee eens,Helemaal mee eens,Mee eens,Neutraal,Helemaal mee eens,Mee eens,Helemaal mee eens,Mee eens,Mee eens,Mee eens,Helemaal mee eens,Mee eens,Mee eens,Helemaal mee eens,Helemaal mee eens,Neutraal,Mee eens,Neutraal,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Neutraal,Neutraal,Mee eens,Neutraal,Neutraal,Neutraal,Neutraal,Neutraal,Mee eens,Neutraal,Neutraal,Niet mee eens,Mee eens,Neutraal,Niet mee eens,Niet mee eens,2022-05-10 08:17:07,2022-05-10 08:29:28,844307ec2f,NA
WerktuigPPO |  FebMar,voo8fs3rcv53ce1b9bvoo8mky3sxyxix,Ja,Event manager,Organiseren van evenementen,"Om mijn ondernemerschapsvaardigheden te verbeteren,Om mijn omzet te vergroten,Om mezelf meer als ondernemer te profileren,Om mijn persoonlijke vaardigheden te verbeteren,Omdat ik te weinig tijd heb voor het ontwikkelen van een lange termijn strategie,Omdat ik de waarde van mijn creativiteit wil bepalen,Om mijn bestaande creatieve onderneming beter te leren managen,Omdat ik het moeilijk vind mezelf commercieel te exploiteren,Omdat ik teveel tijd kwijt ben aan zakelijke dingen ten koste van mijn creativiteit,Omdat ik een gebrek aan zakelijke kennis heb,Omdat ik een (fulltime) creatieve professional wil worden,Anders",8,0,8,0,,NA,,,€ 1.500 - € 2.000,40,Mee eens,Neutraal,Mee eens,Neutraal,Helemaal mee eens,Mee eens,Mee eens,Neutraal,Neutraal,Neutraal,Mee eens,Mee eens,Mee eens,Mee eens,Neutraal,Mee eens,Neutraal,Neutraal,Helemaal mee eens,Mee eens,Mee eens,Mee eens,Neutraal,Mee eens,Mee eens,Mee eens,Mee eens,Mee eens,Mee eens,Mee eens,Neutraal,Neutraal,Mee eens,Helemaal mee eens,Mee eens,Neutraal,Mee eens,Neutraal,Mee eens,Mee eens,Neutraal,Niet mee eens,Neutraal,Mee eens,Niet mee eens,Niet mee eens,Niet mee eens,2022-05-10 07:58:26,2022-05-10 08:08:48,ce2c118c3e,NA
