"","CWM T0 - BEE EZ 2024 -  Export 20241121 - R=26.csv"
"1","#"
"2","Audio recording"
"3","Data sharing"
"4","Just for verification, what's your first name?"
"5","And..."
"6","Your Genesis..."
"7","Email verification"
"8","If you use Instagram, what is your name there?"
"9","Do you have a school degree or diploma? If so, what's the highest degree/diploma?"
"10","What's your professional title"
"11","Are you registered with the Chamber of Commerce"
"12","What's your Chamber of Commerce registration number?"
"13","What city do you live in?"
"14","What are some of the reasons that you decided to participate in this BEE study?"
"15","What's your current monthly income"
"16","Roughly, which percentage of your income flows from business or projects that you own?"
"17","In the coming 12 months I want to conduct practical experiments to find solutions for clients and employers"
"18","In the coming 12 months I'm planning to develop some kind of first version for a product or a service"
"19","In the coming 12 months I'm planning to develop a new business idea or product"
"20","In the coming 12 months I'm planning to test my business idea or product with clients and employers"
"21","In the coming 12 months I'm planning to quit my job, or decrease my hours, so I can focus on my business venture."
"22","In the coming 12 months I'm planning to invest my own money in my business venture."
"23","I have a bank account or planning to open one in the next 12 months."
"24","In the coming 12 months I'm planning to purchase expensive hardware for my business venture."
"25","In the coming 12 months I'm planning to seek funding for my plans."
"26","I always recognize opportunities"
"27","I'm creative."
"28","I'm good at solving problems."
"29","I'm a good leader."
"30","Communicating with others comes easy to me."
"31","I always have new ideas."
"32","It's easy for me to make connections."
"33","I'm confident."
"34","I'm analytical."
"35","I'm an optimist."
"36","I love authenticity (staying grounded)."
"37","I'm goal oriented."
"38","I'm decisive."
"39","I'm curious."
"40","I'm disciplined."
"41","I'm socially adaptable."
"42","I'm communicative."
"43","I'm efficient."
"44","I'm a responsible person."
"45","I've got perseverance."
"46","I've got self-knowledge."
"47","I've got empathy."
"48","I've got good leadership skills"
"49","I'm immune to stress."
"50","I always give it my all, even when it gets tough."
"51","I put a lot of effort in the improvement of the work I produce."
"52","I always try to take on more responsibilities."
"53","I alway try to outperform my peers."
"54","When I make plans, I am convinced that they'll work out."
"55","When I do something well, it's because of my skills and not just because of luck."
"56","Whatever happens to me is the result of my own behaviour. 
"
"57","Most bad circumstances in life are caused by bad luck."
"58","Having a successful (creative) business is mostly the result of being at the right place at the right time."
"59","Sometimes I feel like I don't have enough control over my life."
"60","There's nothing more interesting than living under ever changing circumstances."
"61","Innovative people and people who take risks achieve more in life than orderly people."
"62","If you really want to enjoy your vacation, you should plan it down to the details."
"63","Doing the same thing in the same space leads to a happy life."
"64","Do you have the knowledge, skills and experience to start or run a business?"
"65","Do you think that the coming six months will provide good opportunities for you to start/continue a business in your area?"
"66","Would fear of failure stop you from starting or continuing a business?"
"67","Do you know anybody who has their own business?"
"68","Do you think that the demand for creative professionals will be better, worse or the same?"
"69","Do you think that your financial circumstances will be better, worse or the same within a year?"
"70","Worries often stand in the way of my performance."
"71","My thoughts and feelings do not prevent me from tapping my full potential when I work."
"72","If I want to achieve something professionally, I will go for it."
"73","I regularly make concrete plans for the future, for my work and my career."
"74","It is difficult for me to let go of disturbing thoughts when I work, even if I know it would help me."
"75","I can easily describe my beliefs and opinions when I work."
"76","I feel restricted by everything that I demand from myself when I work."
"77","I don't expect myself to do everything right when I work."
"78","I realise that my actions are my own choices."
"79","I find support in the people that surround me"
"80","It is exciting to figure out new ways to solve unmet work challenges that can be commercialized"
"81","Searching for new ideas to express in my work is enjoyable to me"
