"","CWM T0 - HOK RLC 2024 - Export 20241121 - R=17.csv"
"1","#"
"2","Audio recording"
"3","Data sharing"
"4","Just for verification, what's your name?"
"5","And..."
"6","Your Genesis..."
"7","Email verification"
"8","What's your professional title"
"9","Are you registered with the Chamber of Commerce"
"10","What's your Chamber of Commerce registration number?"
"11","What city do you live in?"
"12","To improve my personal skills"
"13","To increase my income"
"14","To become a (fulltime) creative entrepreneur"
"15","To improve my entrepreneurial skills"
"16","To learn more about entrepreneurialism"
"17","To start a (creative) company"
"18","To learn how to better manage my current creative business"
"19","To better profile myself as an entrepreneur"
"20","To start seeing myself more as an entrepreneur"
"21","Because I'm having difficulty making money from my creativity"
"22","Because I lack business knowhow"
"23","Because the time I spend on business is hurting my creativity"
"24","Because I don't have enough time to develop a long term strategy"
"25","Because I want to put a value on my creativity"
"26","Other"
"27","Which component of this seminar do you consider most valuable to you at this point?"
"28","Can you explain why you chose ""{{field:a3329bb5-67ab-418c-a388-237285d8ecda}}"" ?"
"29","Which of your activities provides you with the bigger part of your monthly income"
"30","What's your current monthly income"
"31","Roughly, which percentage of your income flows from business or projects that you own?"
"32","In the coming 12 months I want to conduct practical experiments to find solutions for clients and employers"
"33","In the coming 12 months I'm planning to develop some kind of prototype for a product or a service"
"34","In the coming 12 months I'm planning to develop a new value proposition"
"35","In the coming 12 months I'm planning to test my value proposition with clients and employers"
"36","In the coming 12 months I'm planning to quit my job, or decrease my hours, so I can focus on my business venture."
"37","In the coming 12 months I'm planning to invest my own money in my business venture."
"38","In the coming 12 months I'm planning to open a business bank account."
"39","In the coming 12 months I'm planning to purchase expensive hardware for my business venture."
"40","In the coming 12 months I'm planning to seek funding for my plans."
"41","I always recognize opportunities"
"42","I'm creative."
"43","I'm good at solving problems."
"44","I'm a good leader."
"45","Communicating with others comes easy to me."
"46","I always have new ideas."
"47","It's easy for me to make connections."
"48","I'm confident."
"49","I'm analytical."
"50","I'm an optimist."
"51","I love authenticity (staying grounded)."
"52","I'm goal oriented."
"53","I'm decisive."
"54","I'm curious."
"55","I'm disciplined."
"56","I'm socially adaptable."
"57","i'm communicative."
"58","I'm efficient."
"59","I'm a responsible person."
"60","I've got perseverance."
"61","I've got self-knowledge."
"62","I've got empathy."
"63","I've got good leadership skills"
"64","I'm immune to stress."
"65","I always give it my all, even when it gets tough."
"66","I put a lot of effort in the improvement of the work I produce."
"67","I always try to take on more responsibilities."
"68","I alway try to outperform my peers."
"69","When I make plans, I am convinced that they'll work out."
"70","When I do something well, it's because of my skills and not just because of luck."
"71","Whatever happens to me is the result of my own behaviour. 
"
"72","Most bad circumstances in life are caused by bad luck."
"73","Having a successful (creative) business is mostly the result of being at the right place at the right time."
"74","Sometimes I feel like I don't have enough control over my life."
"75","There's nothing more interesting than living under ever changing circumstances."
"76","Innovative people and people who take risks achieve more in life than orderly people."
"77","If you really want to enjoy your vacation, you should plan it down to the details."
"78","Doing the same thing in the same space leads to a happy life."
"79","Do you have the knowledge, skills and experience to start or run a business?"
"80","Do you think that the coming six months will provide good opportunities for you to start/continue a business in your area?"
"81","Would fear of failure stop you from starting or continuing a business?"
"82","Do you know anybody who has their own business?"
"83","Do you think that the demand for creative professionals will be better, worse or the same?"
"84","Do you think that your financial circumstances will be better, worse or the same within a year?"
"85","Worries often stand in the way of my performance."
"86","My thoughts and feelings do not prevent me from tapping my full potential when I work."
"87","If I want to achieve something professionally, I will go for it."
"88","I regularly make concrete plans for the future, for my work and my career."
"89","It is difficult for me to let go of disturbing thoughts when I work, even if I know it would help me."
"90","I can easily describe my beliefs and opinions when I work."
"91","I feel restricted by everything that I demand from myself when I work."
"92","I don't expect myself to do everything right when I work."
"93","I realise that my actions are my own choices."
"94","I find support in the people that surround me"
"95","It is exciting to figure out new ways to solve unmet work challenges that can be commercialized"
"96","Searching for new ideas to express in my work is enjoyable to me"
"97","I am motivated to figure out how to make my current work more innovative"
"98","Scanning my surroundings for new work opportunities excites me"
"99","Starting a new business or project excites me"
"100","Having creative freedom energizes me"
"101","Nurturing a new project and making it successful excites me"
"102","Commercializing my work to generate money is important"
"103","I actively seek out the right people to network with in order to build my professional reputation"
"104","Collaborating with others is a part of my work"
"105","Pushing myself beyond my comfort zone excites and better motivates me"
"106","Nurturing and growing my professional work is an important part of who I am"
"107","Persuing a creative or entrepreneurial career is a calling and should be persued for its own sake"
"108","I often have no idea where my next Euros will come from"
"109","It is hard for me to plan for large expenses as it is difficult to predict what my income will
be in any given year."
"110","I often can’t predict when I will get my next paycheck."
"111","I find it difficult to stick to effective routines for handling all the backoffice work that come with my work"
"112","Sometimes I fall seriously behind on doing the necessary administrative tasks to keep
my projects going."
"113","I sometimes feel overwhelmed by all of the different tasks I have to complete in my
work."
"114","I wear so many professional hats that it is sometimes difficult to have a clear sense of
who I am as a professional"
"115","It is sometimes difficult to explain to others who I am as a professional."
"116","My life as an (independent) professional can get pretty intense emotionally."
"117","Working as an (independent) professional is emotional."
"118","In my professional life, my emotions are all over the place."
"119","My professional life can get lonely"
"120","I feel alone in my professional life, separated from mentors and colleagues who might help me"
"121","Sometimes I miss being part of a team when I work"
"122","I don't know where my career might go in the future"
"123","Where I go from here in my career is very unclear"
"124","I'm not sure what kind of work I'll be doing next year"
"125","You made it to the end!"
"126","Response Type"
"127","Start Date (UTC)"
"128","Stage Date (UTC)"
"129","Submit Date (UTC)"
"130","Network ID"
"131","Tags"
